Sector,Industry,Topic,Definition
Health Care,Medical Equipment & Supplies,Product Safety,"Information on product safety and side effects can surface after controlled clinical trials and approval. Subsequently, entities are exposed to the financial implications of recalls and other adverse events. Issues related to product safety, such as equipment failures, manufacturing defects, design flaws, or inadequate disclosure of product-related risks, can lead to significant product liability claims. Firms that limit the incidence of recalls, safety concerns, and enforcement actions for manufacturing concerns may be better positioned to protect shareholder value."
Health Care,Medical Equipment & Supplies,Supply Chain Management,"Supply chain quality is essential to protecting consumer health and corporate value. Medical equipment and supplies firmsthat fail to ensure quality and traceability throughout their supply chains are susceptible to fines, lost revenue, and reputational damage. In addition, entities may need to manage the use of material inputs that are considered scarce. Disclosure of supply chain audit programs, strategies to ensure traceability, and the management of critical materials may provide shareholders with an understanding of how entities in this industry are protecting shareholder value."
Health Care,Medical Equipment & Supplies,Ethical Marketing,"Medical equipment and supplies entities face challenges associated with marketing of specific products. Direct-to-consumer advertisements for medical devices and outreach to physicians provide opportunities for increasing market share. However, challenges arise from the potential for marketing off-label uses, which can result in significant fines and settlements. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern marketing activities will allow shareholders to better understand performance in this area. "
Health Care,Medical Equipment & Supplies,Business Ethics,"Medical equipment and supplies entities are subject to various international, national, and state laws pertaining to health care fraud and abuse. For example, in the U.S., anti-kickback laws and the Foreign Corrupt Practices Act generally prohibit entities from making payments for the purpose of obtaining or retaining business. The ability of entities to ensurecompliance throughout their global and domestic operational footprint may have material implications. Corporate disclosure of legal and regulatory fines and the codes of ethics that govern interactions with health professionals may allow shareholders to monitor performance in this area."
Health Care,Medical Equipment & Supplies,Product Design & Lifecycle Management,"Medical equipment and supplies entities face increasing challenges associated with the human and environmental impact of the industry’s products. Entities may face consumer and regulatory pressure to limit the use of material inputs associated with health concerns, while also addressing issues such as the energy efficiency and end-of-life disposal of specific products. Entities that address these concerns while engaging in efforts to enhance product take-back may satisfyconsumer demand and reduce future liabilities better."
Health Care,Medical Equipment & Supplies,Affordability & Pricing,"Legislative emphasis on health care cost containment and increased access is likely to continue to place downward pricingpressures on the Medical Equipment & Supplies industry. This pressure may be further articulated by consolidation among health care providers and the role of government-sponsored insurance programs. In the U.S., for example, entities that have relied on contractual advantages to protect profits may be challenged to enhance value as the government seeks to reduce its Medicare and Medicaid spending. Firms that are able to ensure fair pricing are likely to limit the negative impact of cost containment while recognising the potential revenue opportunities associated with expanded access."
Transportation,Airlines,Competitive Behaviour,"The Airlines industry is characterised by competitive margins due to high fixed capital and labour costs and competition with government-subsidised carriers in some markets. This pushes airlines to find economies of scale through alliances or consolidation, leading to concentration of the market. The industry is also characterised by high barriers to entry due to limited landing rights and increasing airport congestion. Together, these characteristics may lead entities to engage in anti-competitive practices that increase prices for consumers. As a result, antitrust authorities have scrutinised certain airline industry practices such as airport slot management, predatory pricing, and alliances and mergers. This creates a material risk to investors stemming from legal fees, reputational risk, costs associated with a delayed merger or acquisition transaction, and limits on growth by acquisition or merger."
Transportation,Airlines,Labour Practices,"Many workers in the Airlines industry are covered under collective bargaining agreements that cover fair wages, safe working conditions, and freedom of association, which are among basic worker rights. Unionisation of key personnel mayresult in higher labour costs via wage or benefits increase. At the same time, labour practices can impact the long-term profitability of the business. Effective management of, and communication around, issues such as worker pay and working conditions can prevent conflicts with workers that could lead to extended periods of strikes, which can slow or shut down operations and damage an entity’s reputation, potentially reducing revenue and market share."
Transportation,Airlines,Greenhouse Gas Emissions,"As a result of a heavy reliance on hydrocarbon fuels, the Airlines industry generates significant emissions, more than 99% of which are in the form of carbon dioxide (CO2). Therefore, the industry is subject to compliance costs and risks associated with climate change mitigation policies. The main sources of greenhouse gas (GHG) emissions for airlines entities are aircraft fuel use and emissions, ground equipment and facility electricity. Aircraft fuel consumption is the largest contributor to total emissions from the industry, and fuel management is a critical part of reducing emissions. Management of fuel-related environmental impacts includes increasing fuel efficiency through fleet upgrades, retrofits, and flight speed and route design optimisation, as well as using alternative and sustainable fuels. These initiatives require capital expenditures, but in the long term, they may reduce fuel costs and decrease exposure to GHG emissions programmes and regulatory risk."
Transportation,Airlines,Accident & Safety Management,"Given the nature of air travel in which accidents can result in significant consequences, passenger safety is paramount in the Airlines industry. Although air travel is one of the safest modes of transport, airlines are held to very high safety standards and consumers expect accident-free operations. Furthermore, as products transported by air tend to be high-value or perishable goods, delivering them safely and in a timely manner is a priority for any carrier. Airline accidents may result in significant environmental and social externalities and require entities to pay for remediation and compensation ofvictims. Safety incidents or violations of safety regulations can have a chronic impact on an entity’s reputation, increasing its risk profile and cost of capital, and lead to lower demand from passengers as well as cargo shippers, hurting revenues. Larger accidents, even if they occur rarely, can lead to significant and long-term impacts on reputation and revenue growth. Providing adequate safety training and ensuring the health and well-being of crew members is critical to ensuringsafety. Equally important is timely and adequate maintenance of aircraft, which can help entities minimise the chances of technical failure and avoid severe regulatory penalties for non-compliance."
